record_id,panel_rows,finite_count,coverage,zero_share,mean,std,minimum,maximum,bin_lower,bin_upper,unit_interval_bins
ctrl01_periodic_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.25124575506804214,0.005609942439029039,0.007226004764179976,0.0,0.23571531690099773,0.0,1.0,True
ctrl01_periodic_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.31007693862161084,0.01300784152645969,0.012608999618457555,0.0,0.23571531690099773,0.0,1.0,True
ctrl01_periodic_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.25124575506804214,-0.0006972548003043039,0.009121427232874436,-0.19225521848178684,0.23571531690099773,-0.19225521848178684,0.23571531690099773,False
ctrl01_periodic_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.32655590002415114,0.013705096326763994,0.013335645851979838,0.0,0.19225521848178684,0.0,1.0,True
ctrl01_periodic_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.2512132249653752,0.02671293785322368,0.024299222386133197,0.0,0.23571531690099773,0.0,1.0,True
ctrl02_fixed_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.26063413984986866,0.00021157125497249299,0.0008148473534528582,0.0,0.05844395492867418,0.0,1.0,True
ctrl02_fixed_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.3231678405433513,0.0001443825568121936,0.0006891627362739111,0.0,0.05844402378183333,0.0,1.0,True
ctrl02_fixed_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.26063413984986866,1.2821151218283595e-05,0.0008417685094140792,-0.0499732020676563,0.05844395492867418,-0.0499732020676563,0.05844395492867418,False
ctrl02_fixed_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.3372730902118893,0.00013156140559390987,0.0006499067071603003,0.0,0.05329318922421051,0.0,1.0,True
ctrl02_fixed_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.26063413984986866,0.00027594396240610355,0.0010421486394558961,0.0,0.058444092634992485,0.0,1.0,True
