formal_column,dm01_exact_buy,dm01_exact_sell,dm02_confirmed_buy,dm02_confirmed_sell,dm03_price_room_buy,dm03_price_room_sell,dm04_price_cap_buy,dm04_price_cap_sell,dm05_lot_floor_buy,dm05_lot_floor_sell,dm06_soft_under_buy,dm06_soft_under_sell,dm07_fresh_match_buy,dm07_fresh_match_sell,dm08_adaptive_repeat_buy,dm08_adaptive_repeat_sell,dm09_two_level_buy,dm09_two_level_sell,dm10_excess_cancel_buy,dm10_excess_cancel_sell,dm11_recent_buy,dm11_recent_sell,dm12_persistent_buy,dm12_persistent_sell
dm01_exact_buy,1.0,0.7165500399037751,0.9999695007966355,0.7165364009345488,0.7089480347246331,0.6116596715174244,0.9604771626195101,0.6524721561424887,0.9987508214180859,0.7159379114999738,0.9998993250002787,0.7161029623503525,0.6658210330955789,0.4308141518700533,0.7013700975891514,0.4428063795038471,0.49813054873764023,0.4797251950735476,0.13551405607792985,0.10766406725133164,0.8851561540559844,0.6268030725047565,0.9768025701328719,0.7057974460501045
dm01_exact_sell,0.7165500399037751,1.0,0.7165313226405916,0.9999813964667291,0.6013649541414368,0.7058264600778023,0.6510517897622412,0.9655893135991545,0.7155241679344038,0.9990233115812185,0.715919384190652,0.9999386243279847,0.42996757666012536,0.6878195011670437,0.42233388527989096,0.7069854041482738,0.4774272604806911,0.48926866874096064,0.10344006050743632,0.1264963217937583,0.6180048059590013,0.8898170146598947,0.7013840505029434,0.9790309478752698
dm02_confirmed_buy,0.9999695007966355,0.7165313226405916,1.0,0.7165178449558396,0.7087170136151961,0.6114950691507757,0.9605287330160668,0.652516250128036,0.9987194069966928,0.7159181933488922,0.9998689384277362,0.7160843262438954,0.6659241330573389,0.43088790155144924,0.7013834317030911,0.4427791860444768,0.49803568397711984,0.4795805374072514,0.13554693707691443,0.10768230196938566,0.8851338114632668,0.6267540999010931,0.9767585372365313,0.7057590071894634
dm02_confirmed_sell,0.7165364009345488,0.9999813964667291,0.7165178449558396,1.0,0.6012818469300647,0.7057045906922395,0.6510683932414433,0.9656114145989578,0.7155097685426114,0.9990038880505284,0.7159056987169695,0.9999199892472496,0.4300140403134463,0.6878842946259605,0.4223006284250167,0.7070009322213667,0.47737208844307866,0.4892070213613796,0.10345434687236048,0.1265249313749828,0.6179775955420662,0.8898067778970277,0.7013591349660445,0.9790101187247897
dm03_price_room_buy,0.7089480347246331,0.6013649541414368,0.7087170136151961,0.6012818469300647,1.0,0.6607651951827254,0.48669668880094885,0.493635071264984,0.7092485358591193,0.6020241678129606,0.708622162981925,0.6010478627581932,0.34181224563800183,0.2658599132015377,0.44495709867269184,0.43145239460706825,0.5228502337833801,0.5115870406882049,0.0734533676283813,0.07485672148185388,0.6253390342615897,0.5537446576497373,0.7293564892752349,0.6231285637015765
dm03_price_room_sell,0.6116596715174244,0.7058264600778023,0.6114950691507757,0.7057045906922395,0.6607651951827254,1.0,0.4980505049588729,0.4989714565539121,0.6123875548685966,0.7064885030609659,0.611265983873213,0.7056119612721808,0.2693769116008502,0.35739821550457085,0.40655196953291334,0.45535414982737404,0.4966960845843671,0.5291399197169383,0.07210711890598344,0.0799355972854262,0.5546417663299138,0.6331509290373328,0.6282126923046315,0.7222775933490547
dm04_price_cap_buy,0.9604771626195101,0.6510517897622412,0.9605287330160668,0.6510683932414433,0.48669668880094885,0.4980505049588729,1.0,0.6139506281292944,0.9588141108085031,0.6500365991483267,0.9604815056303094,0.650621751073667,0.6901940498650386,0.4292258482385785,0.6950016233815085,0.37866406502524746,0.41192206196638603,0.39348337544826945,0.13809769265635874,0.1031120468019396,0.8515234451075596,0.5588375222301228,0.9236161979367479,0.6291607632973074
dm04_price_cap_sell,0.6524721561424887,0.9655893135991545,0.652516250128036,0.9656114145989578,0.493635071264984,0.4989714565539121,0.6139506281292944,1.0,0.6509455448942412,0.9641494102229994,0.6518437012525843,0.9655933331637457,0.42760661617609563,0.7112558468801637,0.36743675932267084,0.6991165081129103,0.40198838721969554,0.4049423459880994,0.10004422931887928,0.1252983366372967,0.5527133968321221,0.8574527196862917,0.6278158404050103,0.9338565985403194
dm05_lot_floor_buy,0.9987508214180859,0.7155241679344038,0.9987194069966928,0.7155097685426114,0.7092485358591193,0.6123875548685966,0.9588141108085031,0.6509455448942412,1.0,0.715896616985179,0.9989203486182212,0.7151276082426369,0.6638317305797812,0.42887572061240753,0.6997916553625664,0.4416872566771899,0.4979319732833592,0.4798621902665829,0.13627267033086177,0.10786077330288385,0.8842568860940933,0.6259868642827664,0.9754848088706358,0.7046804001654612
dm05_lot_floor_sell,0.7159379114999738,0.9990233115812185,0.7159181933488922,0.9990038880505284,0.6020241678129606,0.7064885030609659,0.6500365991483267,0.9641494102229994,0.715896616985179,1.0,0.7153606816011194,0.9991196715091625,0.42863849915399604,0.6861442890216609,0.4215708622292316,0.7056260502560114,0.4775611024195488,0.48946047065895126,0.10360336770328074,0.12703058073369475,0.6176162450445516,0.889099305219768,0.7006841586748207,0.9780212876305113
