column_a,column_b,mean,std,count
dm01_exact_buy,dm01_exact_sell,0.7830893064463509,0.03523882286775855,601
dm01_exact_buy,dm02_confirmed_buy,0.9999831458821746,2.4103508629899435e-05,601
dm01_exact_buy,dm02_confirmed_sell,0.7830792784476095,0.03523935702770762,601
dm01_exact_buy,dm03_price_room_buy,0.7415358986508496,0.050412827863173346,601
dm01_exact_buy,dm03_price_room_sell,0.6804680355611293,0.04907629258280661,601
dm01_exact_buy,dm04_price_cap_buy,0.9710018048637117,0.008602538432315631,601
dm01_exact_buy,dm04_price_cap_sell,0.7317778592339835,0.041083305706808314,601
dm01_exact_buy,dm05_lot_floor_buy,0.9987534511177707,0.0005938685777460141,601
dm01_exact_buy,dm05_lot_floor_sell,0.7825207773312678,0.03525137554007219,601
dm01_exact_buy,dm06_soft_under_buy,0.9998011510455024,0.00019292557952248934,601
dm01_exact_buy,dm06_soft_under_sell,0.7824557428572476,0.035394119057028404,601
dm01_exact_buy,dm07_fresh_match_buy,0.721065570216732,0.034543304706786626,601
dm01_exact_buy,dm07_fresh_match_sell,0.5260849358464982,0.05225602108638405,601
dm01_exact_buy,dm08_adaptive_repeat_buy,0.6590243178028531,0.051201646463814934,601
dm01_exact_buy,dm08_adaptive_repeat_sell,0.4721297309022257,0.07627518500999245,601
dm01_exact_buy,dm09_two_level_buy,0.49556914185633455,0.07192279322309494,601
dm01_exact_buy,dm09_two_level_sell,0.48890376505305544,0.07493626171029918,601
dm01_exact_buy,dm10_excess_cancel_buy,0.0732463144184598,0.055720025375535505,601
dm01_exact_buy,dm10_excess_cancel_sell,0.05167466302928374,0.05244040099373026,601
dm01_exact_buy,dm11_recent_buy,0.9263833375844919,0.015261219938727671,601
dm01_exact_buy,dm11_recent_sell,0.7290257491122394,0.03970093753517346,601
dm01_exact_buy,dm12_persistent_buy,0.9744909343732401,0.008091347345814503,601
dm01_exact_buy,dm12_persistent_sell,0.77360303889746,0.03955826595000624,601
dm01_exact_sell,dm02_confirmed_buy,0.783069281642019,0.03524256534338534,601
dm01_exact_sell,dm02_confirmed_sell,0.9999913227539478,1.887022260989181e-05,601
dm01_exact_sell,dm03_price_room_buy,0.6733844561319106,0.05274732896116197,601
dm01_exact_sell,dm03_price_room_sell,0.7434067027936894,0.04559786048641901,601
dm01_exact_sell,dm04_price_cap_buy,0.7310378708265729,0.040835722119497625,601
dm01_exact_sell,dm04_price_cap_sell,0.9735642234313523,0.007063284734388227,601
dm01_exact_sell,dm05_lot_floor_buy,0.782091429358917,0.035316895454670434,601
dm01_exact_sell,dm05_lot_floor_sell,0.9989704273001561,0.0004736565271528898,601
dm01_exact_sell,dm06_soft_under_buy,0.7821991758434675,0.03534515772743322,601
dm01_exact_sell,dm06_soft_under_sell,0.9998644005328527,9.101829858493334e-05,601
dm01_exact_sell,dm07_fresh_match_buy,0.5190568539807654,0.050375997023611806,601
dm01_exact_sell,dm07_fresh_match_sell,0.7429563102908224,0.033682274944827444,601
dm01_exact_sell,dm08_adaptive_repeat_buy,0.4582782788771106,0.07040737542447256,601
dm01_exact_sell,dm08_adaptive_repeat_sell,0.6658514306248049,0.05363616439114305,601
dm01_exact_sell,dm09_two_level_buy,0.48568418235080246,0.06974377233009225,601
dm01_exact_sell,dm09_two_level_sell,0.4851547899048869,0.07583193970761047,601
dm01_exact_sell,dm10_excess_cancel_buy,0.045350888249225986,0.04823698350024856,601
dm01_exact_sell,dm10_excess_cancel_sell,0.06454730895127493,0.05285247651187585,601
dm01_exact_sell,dm11_recent_buy,0.7204590303652603,0.03982473300114173,601
dm01_exact_sell,dm11_recent_sell,0.9289059745357436,0.01561029483160119,601
dm01_exact_sell,dm12_persistent_buy,0.7697057026185564,0.039542382322694795,601
dm01_exact_sell,dm12_persistent_sell,0.9768624814853658,0.007482771479943849,601
dm02_confirmed_buy,dm02_confirmed_sell,0.7830593424703438,0.03524310968144243,601
dm02_confirmed_buy,dm03_price_room_buy,0.7413719864880219,0.05040655303294823,601
dm02_confirmed_buy,dm03_price_room_sell,0.6803429793472717,0.049067525447421254,601
dm02_confirmed_buy,dm04_price_cap_buy,0.9710562957651503,0.008576742018136959,601
dm02_confirmed_buy,dm04_price_cap_sell,0.7318111439608724,0.04108424434364211,601
dm02_confirmed_buy,dm05_lot_floor_buy,0.9987357945943972,0.0005936362725211812,601
dm02_confirmed_buy,dm05_lot_floor_sell,0.7825000578727129,0.035255275616423894,601
dm02_confirmed_buy,dm06_soft_under_buy,0.999784469807444,0.0001941383810464632,601
dm02_confirmed_buy,dm06_soft_under_sell,0.7824357935875451,0.0353978844055582,601
dm02_confirmed_buy,dm07_fresh_match_buy,0.721157548272742,0.03452820269721244,601
dm02_confirmed_buy,dm07_fresh_match_sell,0.5261616621210983,0.05224309199155576,601
dm02_confirmed_buy,dm08_adaptive_repeat_buy,0.6589980973714452,0.05121449685824292,601
dm02_confirmed_buy,dm08_adaptive_repeat_sell,0.47207843581088355,0.07628902216341846,601
dm02_confirmed_buy,dm09_two_level_buy,0.4954349928093454,0.07191930233305623,601
dm02_confirmed_buy,dm09_two_level_sell,0.48876368394069736,0.07493236580796685,601
dm02_confirmed_buy,dm10_excess_cancel_buy,0.07319786442059696,0.055723987021753116,601
dm02_confirmed_buy,dm10_excess_cancel_sell,0.05163242962756651,0.05244604769205093,601
dm02_confirmed_buy,dm11_recent_buy,0.9263796651735078,0.015267332340552395,601
dm02_confirmed_buy,dm11_recent_sell,0.7289995111771702,0.03970889442862302,601
dm02_confirmed_buy,dm12_persistent_buy,0.9744585937369306,0.008088119887847233,601
dm02_confirmed_buy,dm12_persistent_sell,0.7735661429601945,0.03956664277435551,601
dm02_confirmed_sell,dm03_price_room_buy,0.6733121231122786,0.05273862795714508,601
dm02_confirmed_sell,dm03_price_room_sell,0.7433155864082119,0.0455879032954969,601
dm02_confirmed_sell,dm04_price_cap_buy,0.7310608368625936,0.04083535960626807,601
dm02_confirmed_sell,dm04_price_cap_sell,0.97359586684838,0.007046855777685715,601
dm02_confirmed_sell,dm05_lot_floor_buy,0.7820805364277896,0.035317607546659704,601
dm02_confirmed_sell,dm05_lot_floor_sell,0.9989610076816055,0.0004748315791928491,601
dm02_confirmed_sell,dm06_soft_under_buy,0.7821891307280516,0.035345684374988,601
dm02_confirmed_sell,dm06_soft_under_sell,0.999855745687847,9.317511972945794e-05,601
dm02_confirmed_sell,dm07_fresh_match_buy,0.5191132639468481,0.05036842058746677,601
dm02_confirmed_sell,dm07_fresh_match_sell,0.7430232029523286,0.03367415535381981,601
dm02_confirmed_sell,dm08_adaptive_repeat_buy,0.45823639716403536,0.07041413852397993,601
dm02_confirmed_sell,dm08_adaptive_repeat_sell,0.6658341843870259,0.05363463098960177,601
dm02_confirmed_sell,dm09_two_level_buy,0.48559638789129367,0.0697426964433384,601
dm02_confirmed_sell,dm09_two_level_sell,0.48506773452549135,0.07582178778207983,601
dm02_confirmed_sell,dm10_excess_cancel_buy,0.04531474791452084,0.04824506403944647,601
dm02_confirmed_sell,dm10_excess_cancel_sell,0.06451848901684473,0.05285983332594147,601
dm02_confirmed_sell,dm11_recent_buy,0.7204448800719176,0.03983020461744675,601
dm02_confirmed_sell,dm11_recent_sell,0.9289018036346158,0.015614227025675964,601
dm02_confirmed_sell,dm12_persistent_buy,0.769685968079993,0.03954362529504203,601
dm02_confirmed_sell,dm12_persistent_sell,0.976844902169421,0.0074829794900374115,601
dm03_price_room_buy,dm03_price_room_sell,0.6875786231865999,0.058194002265714126,601
dm03_price_room_buy,dm04_price_cap_buy,0.590695095174667,0.05214309476860417,601
dm03_price_room_buy,dm04_price_cap_sell,0.5977700560166989,0.053038690512718555,601
dm03_price_room_buy,dm05_lot_floor_buy,0.7414462208031668,0.050444116584323684,601
dm03_price_room_buy,dm05_lot_floor_sell,0.6736303767227779,0.052686468172691736,601
dm03_price_room_buy,dm06_soft_under_buy,0.7409610518135076,0.05043452026851774,601
dm03_price_room_buy,dm06_soft_under_sell,0.67285900329056,0.05274485373685897,601
dm03_price_room_buy,dm07_fresh_match_buy,0.4519632430348053,0.06230112177009038,601
dm03_price_room_buy,dm07_fresh_match_sell,0.39569854892536027,0.064007027157762,601
dm03_price_room_buy,dm08_adaptive_repeat_buy,0.5224892452832262,0.05675685074875034,601
dm03_price_room_buy,dm08_adaptive_repeat_sell,0.5068490946867265,0.05768341594873419,601
dm03_price_room_buy,dm09_two_level_buy,0.5558068110295122,0.06137786694517592,601
dm03_price_room_buy,dm09_two_level_sell,0.5527309951877712,0.06636759418703639,601
dm03_price_room_buy,dm10_excess_cancel_buy,0.12711639688892173,0.048713242701728526,601
dm03_price_room_buy,dm10_excess_cancel_sell,0.12665348679523267,0.047831076017430876,601
dm03_price_room_buy,dm11_recent_buy,0.6829307277888582,0.05157450822164916,601
dm03_price_room_buy,dm11_recent_sell,0.6408706566734987,0.05127067819267728,601
dm03_price_room_buy,dm12_persistent_buy,0.7652841904391339,0.04837121633172913,601
dm03_price_room_buy,dm12_persistent_sell,0.696701263857894,0.05078313023653499,601
dm03_price_room_sell,dm04_price_cap_buy,0.6005275182012196,0.048661410748634545,601
dm03_price_room_sell,dm04_price_cap_sell,0.600120806694232,0.04973693425046165,601
dm03_price_room_sell,dm05_lot_floor_buy,0.6807565387154297,0.04899040457407245,601
dm03_price_room_sell,dm05_lot_floor_sell,0.7435720866280304,0.04547981479514064,601
dm03_price_room_sell,dm06_soft_under_buy,0.6798021771916186,0.0490553096562765,601
dm03_price_room_sell,dm06_soft_under_sell,0.7429835449949066,0.04561091058803437,601
dm03_price_room_sell,dm07_fresh_match_buy,0.39213833794126385,0.059433519995207566,601
dm03_price_room_sell,dm07_fresh_match_sell,0.46164871491182735,0.06380401649703932,601
dm03_price_room_sell,dm08_adaptive_repeat_buy,0.491841528845696,0.05466613869702477,601
dm03_price_room_sell,dm08_adaptive_repeat_sell,0.5236645106843025,0.06448247312318894,601
dm03_price_room_sell,dm09_two_level_buy,0.5460142011417036,0.06391010631311368,601
dm03_price_room_sell,dm09_two_level_sell,0.5549940616158507,0.07079955815359558,601
dm03_price_room_sell,dm10_excess_cancel_buy,0.11602189903266205,0.044546230975256784,601
dm03_price_room_sell,dm10_excess_cancel_sell,0.1177289059115926,0.04795846391231722,601
dm03_price_room_sell,dm11_recent_buy,0.6413066525540705,0.046378170217005674,601
dm03_price_room_sell,dm11_recent_sell,0.696263687746628,0.045935708416063245,601
dm03_price_room_sell,dm12_persistent_buy,0.6992242323647517,0.047747710332835654,601
dm03_price_room_sell,dm12_persistent_sell,0.7653072406442433,0.043793240451520804,601
dm04_price_cap_buy,dm04_price_cap_sell,0.6987096749164932,0.04655638153870331,601
dm04_price_cap_buy,dm05_lot_floor_buy,0.9693501837702893,0.008876496576591902,601
dm04_price_cap_buy,dm05_lot_floor_sell,0.730086508234628,0.040889609519618765,601
dm04_price_cap_buy,dm06_soft_under_buy,0.9709383482740748,0.008552114029995858,601
dm04_price_cap_buy,dm06_soft_under_sell,0.7304254483482705,0.04099566038828261,601
dm04_price_cap_buy,dm07_fresh_match_buy,0.7409179497879068,0.030556478884983033,601
dm04_price_cap_buy,dm07_fresh_match_sell,0.5222669919680238,0.05162400545817985,601
dm04_price_cap_buy,dm08_adaptive_repeat_buy,0.640256230659588,0.05355279873124725,601
dm04_price_cap_buy,dm08_adaptive_repeat_sell,0.41383782595947627,0.07924894262274111,601
dm04_price_cap_buy,dm09_two_level_buy,0.41754609226253564,0.06693902167227829,601
dm04_price_cap_buy,dm09_two_level_sell,0.4111801995205642,0.06995377746247855,601
dm04_price_cap_buy,dm10_excess_cancel_buy,0.05178285320417831,0.05833069311455153,601
dm04_price_cap_buy,dm10_excess_cancel_sell,0.022303468073057765,0.0569071177346188,601
dm04_price_cap_buy,dm11_recent_buy,0.9033926051687505,0.018127753119595146,601
dm04_price_cap_buy,dm11_recent_sell,0.6773114315187642,0.045347774604249824,601
dm04_price_cap_buy,dm12_persistent_buy,0.9362010125159099,0.012802700379826962,601
dm04_price_cap_buy,dm12_persistent_sell,0.7148693318601729,0.04601115152451695,601
dm04_price_cap_sell,dm05_lot_floor_buy,0.7303041484796546,0.04121168672127042,601
dm04_price_cap_sell,dm05_lot_floor_sell,0.9721265376113215,0.007272000327478907,601
dm04_price_cap_sell,dm06_soft_under_buy,0.7308822215788917,0.041193328289016305,601
dm04_price_cap_sell,dm06_soft_under_sell,0.973527018298341,0.007042539330011727,601
dm04_price_cap_sell,dm07_fresh_match_buy,0.5141297186847871,0.05032424695961893,601
dm04_price_cap_sell,dm07_fresh_match_sell,0.7662573014025106,0.031254122977334084,601
dm04_price_cap_sell,dm08_adaptive_repeat_buy,0.4052640611146247,0.07450608668841177,601
dm04_price_cap_sell,dm08_adaptive_repeat_sell,0.6498208542490967,0.05372624997660266,601
dm04_price_cap_sell,dm09_two_level_buy,0.41421261987424585,0.06565001846468883,601
dm04_price_cap_sell,dm09_two_level_sell,0.4089900105607967,0.06824398110984652,601
dm04_price_cap_sell,dm10_excess_cancel_buy,0.02139331057350681,0.052874407730598205,601
dm04_price_cap_sell,dm10_excess_cancel_sell,0.04514904323576939,0.057027541478887576,601
dm04_price_cap_sell,dm11_recent_buy,0.6693580730349097,0.04610091632875432,601
dm04_price_cap_sell,dm11_recent_sell,0.9050531107158515,0.01787575347933569,601
dm04_price_cap_sell,dm12_persistent_buy,0.7129057394026489,0.04578299718930929,601
dm04_price_cap_sell,dm12_persistent_sell,0.942312160138289,0.011542198453754288,601
dm05_lot_floor_buy,dm05_lot_floor_sell,0.7824412824390152,0.0352619104693146,601
dm05_lot_floor_buy,dm06_soft_under_buy,0.9990300727653143,0.00048641871995414406,601
dm05_lot_floor_buy,dm06_soft_under_sell,0.781543381278922,0.035464221002226515,601
dm05_lot_floor_buy,dm07_fresh_match_buy,0.7188155756381774,0.03465502297519068,601
dm05_lot_floor_buy,dm07_fresh_match_sell,0.5238901274243684,0.05234026325484067,601
dm05_lot_floor_buy,dm08_adaptive_repeat_buy,0.6577163457052854,0.051250406264998105,601
dm05_lot_floor_buy,dm08_adaptive_repeat_sell,0.47100365137236877,0.07637305937550357,601
dm05_lot_floor_buy,dm09_two_level_buy,0.4955748125885676,0.07176805350777303,601
dm05_lot_floor_buy,dm09_two_level_sell,0.489045775438037,0.07480044798212813,601
dm05_lot_floor_buy,dm10_excess_cancel_buy,0.07350561213014947,0.05583159254154539,601
dm05_lot_floor_buy,dm10_excess_cancel_sell,0.05156793475959379,0.052345444865032634,601
dm05_lot_floor_buy,dm11_recent_buy,0.9253157345336755,0.015353862816016143,601
dm05_lot_floor_buy,dm11_recent_sell,0.7280665197144149,0.039775759121279966,601
dm05_lot_floor_buy,dm12_persistent_buy,0.973164372205451,0.008220920700326415,601
dm05_lot_floor_buy,dm12_persistent_sell,0.7724826127986736,0.03965620505966313,601
dm05_lot_floor_sell,dm06_soft_under_buy,0.7817280700362573,0.03534894401863237,601
dm05_lot_floor_sell,dm06_soft_under_sell,0.9991312203197328,0.00040942795459615985,601
dm05_lot_floor_sell,dm07_fresh_match_buy,0.5175744261028108,0.05040095231121749,601
dm05_lot_floor_sell,dm07_fresh_match_sell,0.7409167774265889,0.033766223161800356,601
dm05_lot_floor_sell,dm08_adaptive_repeat_buy,0.457460967910848,0.07050327092121361,601
dm05_lot_floor_sell,dm08_adaptive_repeat_sell,0.6645980940499858,0.05369741514781899,601
dm05_lot_floor_sell,dm09_two_level_buy,0.4857924316225084,0.06960511034249982,601
dm05_lot_floor_sell,dm09_two_level_sell,0.4852975966106475,0.07565831359981573,601
dm05_lot_floor_sell,dm10_excess_cancel_buy,0.04524402982158583,0.04819951233879012,601
dm05_lot_floor_sell,dm10_excess_cancel_sell,0.06467688512498766,0.05280762880320395,601
dm05_lot_floor_sell,dm11_recent_buy,0.7198928067657454,0.039881407117982305,601
dm05_lot_floor_sell,dm11_recent_sell,0.9279724432599334,0.015618759345807226,601
dm05_lot_floor_sell,dm12_persistent_buy,0.7689708928094683,0.03960581139266755,601
dm05_lot_floor_sell,dm12_persistent_sell,0.9757903758592765,0.007567923910870393,601
