column_a,column_b,common_n,equality_rate,mean_absolute_difference,max_absolute_difference
dm01_exact_buy,dm01_exact_sell,1714613,0.06536577058496582,0.005399038522495686,0.11458333333333333
dm01_exact_buy,dm02_confirmed_buy,1714613,0.9876759362025134,3.844286882878282e-06,0.02821869488536155
dm01_exact_buy,dm02_confirmed_sell,1714613,0.06536402091900621,0.005398444092950566,0.11458333333333333
dm01_exact_buy,dm03_price_room_buy,1714613,0.038161381023006355,0.01030981724120043,0.11458333333333333
dm01_exact_buy,dm03_price_room_sell,1714613,0.03938906330466409,0.010278689835812824,0.125
dm01_exact_buy,dm04_price_cap_buy,1714613,0.2537686346714973,0.0026061103853732013,0.06578947368421052
dm01_exact_buy,dm04_price_cap_sell,1714613,0.06505782937607495,0.0056832237095667,0.1172901921132457
dm01_exact_buy,dm05_lot_floor_buy,1714613,0.8623059547548048,0.00011366406434061015,0.03389830508474576
dm01_exact_buy,dm05_lot_floor_sell,1714613,0.06468748341462476,0.005431342833124524,0.11458333333333333
dm01_exact_buy,dm06_soft_under_buy,1714613,0.8989672888284411,2.184349223617055e-05,0.026740396431051985
dm01_exact_buy,dm06_soft_under_sell,1714613,0.06119689982520837,0.005405327409517755,0.11458333333333333
dm01_exact_buy,dm07_fresh_match_buy,1714613,0.05914745776452179,0.009751037828728902,0.11627906976744187
dm01_exact_buy,dm07_fresh_match_sell,1714613,0.05106166814319033,0.009691045718176854,0.12740141557128412
dm01_exact_buy,dm08_adaptive_repeat_buy,1714613,0.0349454949892483,0.011604717021280514,0.11458333333333333
dm01_exact_buy,dm08_adaptive_repeat_sell,1714613,0.038194624676238895,0.01155476459117663,0.12942366026289182
dm01_exact_buy,dm09_two_level_buy,1714613,0.03523710598251617,0.01238216946817996,0.125
dm01_exact_buy,dm09_two_level_sell,1714613,0.03526510063786989,0.012382682151261613,0.12740141557128412
dm01_exact_buy,dm10_excess_cancel_buy,1714613,0.035366581263527104,0.01272203095079111,0.12841253791708798
dm01_exact_buy,dm10_excess_cancel_sell,1714613,0.03532108994857732,0.012743227671429762,0.1263902932254803
dm01_exact_buy,dm11_recent_buy,1714613,0.0349454949892483,0.009939222834341484,0.09585114508897459
dm01_exact_buy,dm11_recent_sell,1714613,0.01852371351436155,0.009872759173173953,0.1246486481376819
dm01_exact_buy,dm12_persistent_buy,1714613,0.03496357487083091,0.0020562509651508264,0.07407407407407407
dm01_exact_buy,dm12_persistent_sell,1714613,0.026765223406098052,0.005329405197225578,0.125
dm01_exact_sell,dm02_confirmed_buy,1714613,0.0653686866948985,0.005398786989783307,0.11458333333333333
dm01_exact_sell,dm02_confirmed_sell,1714613,0.9913992253645575,2.339743124248887e-06,0.02729044834307992
dm01_exact_sell,dm03_price_room_buy,1714613,0.041044830524439045,0.01111224547886585,0.11729019211324569
dm01_exact_sell,dm03_price_room_sell,1714613,0.04109907016918687,0.011009394611495202,0.11526794742163801
dm01_exact_sell,dm04_price_cap_buy,1714613,0.06272377498595894,0.006172687217502374,0.10810810810810811
dm01_exact_sell,dm04_price_cap_sell,1714613,0.24575458135450973,0.002669748217591796,0.07383100902378999
dm01_exact_sell,dm05_lot_floor_buy,1714613,0.06460933166842897,0.005418336487271259,0.11458333333333333
dm01_exact_sell,dm05_lot_floor_sell,1714613,0.868260068015348,0.00010735963803288203,0.041666666666666664
dm01_exact_sell,dm06_soft_under_buy,1714613,0.061157823952110474,0.005405225807887218,0.11458333333333333
dm01_exact_sell,dm06_soft_under_sell,1714613,0.8968741051187644,2.0122855619346585e-05,0.01550366647576562
dm01_exact_sell,dm07_fresh_match_buy,1714613,0.048744527190683846,0.010729217620274208,0.11122345803842264
dm01_exact_sell,dm07_fresh_match_sell,1714613,0.06447985638741803,0.010211591948587789,0.12032355915065722
dm01_exact_sell,dm08_adaptive_repeat_buy,1714613,0.04019332642409686,0.012393396785143437,0.12740141557128412
dm01_exact_sell,dm08_adaptive_repeat_sell,1714613,0.03758282481236291,0.012310097377178244,0.11931243680485337
dm01_exact_sell,dm09_two_level_buy,1714613,0.037821362604856024,0.013155737023506182,0.12740141557128412
dm01_exact_sell,dm09_two_level_sell,1714613,0.037872102917684634,0.013154680363831906,0.12436804853387258
dm01_exact_sell,dm10_excess_cancel_buy,1714613,0.03795958621566499,0.013495962325845191,0.12841253791708795
dm01_exact_sell,dm10_excess_cancel_sell,1714613,0.037856939146034704,0.013515475264709588,0.12841253791708795
dm01_exact_sell,dm11_recent_buy,1714613,0.01852371351436155,0.01081098756636614,0.11550574646012546
dm01_exact_sell,dm11_recent_sell,1714613,0.03758282481236291,0.010537286875792808,0.09979062966247453
dm01_exact_sell,dm12_persistent_buy,1714613,0.02772870612785509,0.0056839372513525265,0.10810810810810811
dm01_exact_sell,dm12_persistent_sell,1714613,0.03759215636414748,0.002096861009425449,0.07317073170731707
dm02_confirmed_buy,dm02_confirmed_sell,1714613,0.06536402091900621,0.005398187790033137,0.11458333333333333
dm02_confirmed_buy,dm03_price_room_buy,1714613,0.038164297132939035,0.010305984783813208,0.11458333333333333
dm02_confirmed_buy,dm03_price_room_sell,1714613,0.03939781163446212,0.01027488312329121,0.125
dm02_confirmed_buy,dm04_price_cap_buy,1714613,0.2538823629588718,0.0026026404539899435,0.06578947368421052
dm02_confirmed_buy,dm04_price_cap_sell,1714613,0.06505433004415574,0.005680968980327219,0.1172901921132457
dm02_confirmed_buy,dm05_lot_floor_buy,1714613,0.8559855780867169,0.00011750835122348844,0.03389830508474576
dm02_confirmed_buy,dm05_lot_floor_sell,1714613,0.06470264718627469,0.0054311581982268015,0.11458333333333333
dm02_confirmed_buy,dm06_soft_under_buy,1714613,0.890085984417475,2.568777911904883e-05,0.02821869488536155
dm02_confirmed_buy,dm06_soft_under_sell,1714613,0.061202732045073725,0.005405080518415607,0.11458333333333333
dm02_confirmed_buy,dm07_fresh_match_buy,1714613,0.059150957096441005,0.009747199933069085,0.11627906976744187
dm02_confirmed_buy,dm07_fresh_match_sell,1714613,0.051065167475109544,0.00968726698332708,0.12740141557128412
dm02_confirmed_buy,dm08_adaptive_repeat_buy,1714613,0.03494724465520791,0.011600872734397635,0.11458333333333333
dm02_confirmed_buy,dm08_adaptive_repeat_sell,1714613,0.038199290452131184,0.01155092981194727,0.12942366026289182
dm02_confirmed_buy,dm09_two_level_buy,1714613,0.03523885564847578,0.012378325181297082,0.125
dm02_confirmed_buy,dm09_two_level_sell,1714613,0.03526801674780256,0.012378840169603979,0.12740141557128412
dm02_confirmed_buy,dm10_excess_cancel_buy,1714613,0.03537008059544632,0.012718186663908232,0.12841253791708798
dm02_confirmed_buy,dm10_excess_cancel_sell,1714613,0.03532283961453692,0.012739383384546884,0.1263902932254803
dm02_confirmed_buy,dm11_recent_buy,1714613,0.0349454949892483,0.009935378676100589,0.09585114508897459
dm02_confirmed_buy,dm11_recent_sell,1714613,0.01852487995833462,0.009868956470013781,0.1246486481376819
dm02_confirmed_buy,dm12_persistent_buy,1714613,0.03496474131480398,0.002053255035238143,0.07407407407407407
dm02_confirmed_buy,dm12_persistent_sell,1714613,0.026766389850071123,0.005328426337526861,0.125
dm02_confirmed_sell,dm03_price_room_buy,1714613,0.041045996968412116,0.011109919980862006,0.11729019211324569
dm02_confirmed_sell,dm03_price_room_sell,1714613,0.04110023661315994,0.01100706404063373,0.11526794742163801
dm02_confirmed_sell,dm04_price_cap_buy,1714613,0.06272260854198586,0.00617108107766829,0.10810810810810811
dm02_confirmed_sell,dm04_price_cap_sell,1714613,0.24580240555740568,0.002667722973713566,0.07383100902378999
dm02_confirmed_sell,dm05_lot_floor_buy,1714613,0.06459591756273865,0.005417786221142952,0.11458333333333333
dm02_confirmed_sell,dm05_lot_floor_sell,1714613,0.8640538710484523,0.0001096990905434401,0.041666666666666664
