period,formal_column,group,typical_within_std,mean_return
full,dm03_price_room_buy,5,0.010008818241018893,0.00021938254533984593
full,dm03_price_room_buy,6,0.010206878948970334,0.00020063863814138752
full,dm03_price_room_buy,7,0.010320258980957913,0.00019581232100744774
full,dm03_price_room_buy,8,0.010453851279355903,0.00021452683307257963
full,dm03_price_room_buy,9,0.010790204243710305,0.00025807332921842557
full,dm03_price_room_buy,10,0.010774959206471542,0.00020363212805870609
full,dm03_price_room_sell,1,0.009485671397207383,-0.0014468324013797286
full,dm03_price_room_sell,2,0.008272976394561132,6.66401981768396e-06
full,dm03_price_room_sell,3,0.011187754140965574,0.00010612063372563419
full,dm03_price_room_sell,4,0.010158698348810107,0.00015695154710304094
full,dm03_price_room_sell,5,0.010001401819625675,0.0001607604437703972
full,dm03_price_room_sell,6,0.01021482084005585,0.0001774862485662015
full,dm03_price_room_sell,7,0.010326497966688655,0.00021533099209751404
full,dm03_price_room_sell,8,0.010502640623283994,0.00019709304955311114
full,dm03_price_room_sell,9,0.010638018581654323,0.00021807358169820504
full,dm03_price_room_sell,10,0.010767797396036978,0.0003637109567610539
full,dm04_price_cap_buy,1,0.010289530070944769,-5.19799449491879e-05
full,dm04_price_cap_buy,2,0.010738650311091572,0.00016669036566410158
full,dm04_price_cap_buy,3,0.010273750575366905,0.00015837657270241368
full,dm04_price_cap_buy,4,0.010068435534494739,0.00023010234887075172
full,dm04_price_cap_buy,5,0.009783748485874431,0.00020212776289123727
full,dm04_price_cap_buy,6,0.009694759187429453,0.00019829076384051276
full,dm04_price_cap_buy,7,0.009495939505336807,0.00021411716155718923
full,dm04_price_cap_buy,8,0.009270499411792357,0.00019888035457309047
full,dm04_price_cap_buy,9,0.009061693615092386,0.00018296237851392891
full,dm04_price_cap_buy,10,0.008706471116969181,0.0002463757133054757
full,dm04_price_cap_sell,1,0.010402868628707306,0.000544158470111604
full,dm04_price_cap_sell,2,0.010962628099805227,0.0004070340815833198
full,dm04_price_cap_sell,3,0.0107555498804507,0.0003008340001566685
full,dm04_price_cap_sell,4,0.010289645389131812,0.00018839741457290607
full,dm04_price_cap_sell,5,0.009982878195343466,0.00019000005929435717
full,dm04_price_cap_sell,6,0.009789371458170232,0.0001540044501595424
full,dm04_price_cap_sell,7,0.009358909846708464,3.3453023110582045e-05
full,dm04_price_cap_sell,8,0.009066243722063709,3.295023426467945e-05
full,dm04_price_cap_sell,9,0.008636459015877201,2.2158483268652357e-05
full,dm04_price_cap_sell,10,0.0077609398803657964,-0.00012569485829025168
full,dm05_lot_floor_buy,1,0.009140564596826524,-6.485530798973102e-05
full,dm05_lot_floor_buy,2,0.01007072099932496,0.00011643252500884479
full,dm05_lot_floor_buy,3,0.010146706685935543,0.00020638852397429592
full,dm05_lot_floor_buy,4,0.00999136441637591,0.00016837150030619134
full,dm05_lot_floor_buy,5,0.010162835095106992,0.00022526280290582613
full,dm05_lot_floor_buy,6,0.009903973582543095,0.00021608505653334908
full,dm05_lot_floor_buy,7,0.009774194793234409,0.00022745853697017255
full,dm05_lot_floor_buy,8,0.00955306706245553,0.0001998247542762166
full,dm05_lot_floor_buy,9,0.009538419369625883,0.0002324997111362228
full,dm05_lot_floor_buy,10,0.009166050695022408,0.00021832499354795435
full,dm05_lot_floor_sell,1,0.009350917232514827,0.00041441660227686935
full,dm05_lot_floor_sell,2,0.010209058931933484,0.0003117401781902478
full,dm05_lot_floor_sell,3,0.010391150861765099,0.0002357023091127697
full,dm05_lot_floor_sell,4,0.010300534711561673,0.00020372756292916456
full,dm05_lot_floor_sell,5,0.010318675788462281,0.00018957617834727423
full,dm05_lot_floor_sell,6,0.010023176561402398,0.00018696271056003406
full,dm05_lot_floor_sell,7,0.00970697015929539,6.443365487336326e-05
full,dm05_lot_floor_sell,8,0.00944753204559178,8.21244243060882e-05
full,dm05_lot_floor_sell,9,0.009136312751369976,7.650566613424199e-05
full,dm05_lot_floor_sell,10,0.008414131043479399,-1.8402998164187777e-05
full,dm06_soft_under_buy,1,0.009127760286357324,-6.563151552023716e-05
full,dm06_soft_under_buy,2,0.010084987266074793,0.00011671218604060065
full,dm06_soft_under_buy,3,0.010158708588816442,0.00021530419219520993
full,dm06_soft_under_buy,4,0.010014182601367312,0.00016814375283105145
full,dm06_soft_under_buy,5,0.010169714806541576,0.00021924894227320858
full,dm06_soft_under_buy,6,0.009902941983543226,0.00021558130062451626
full,dm06_soft_under_buy,7,0.00975740357029857,0.00023261465657645184
full,dm06_soft_under_buy,8,0.009571560099731315,0.000207943323674218
full,dm06_soft_under_buy,9,0.009514985684076167,0.00022052681024202888
full,dm06_soft_under_buy,10,0.009143032097408974,0.00021532913499323504
full,dm06_soft_under_sell,1,0.009340318788476671,0.0004105317808999758
full,dm06_soft_under_sell,2,0.010243919735611335,0.0003228481690527805
full,dm06_soft_under_sell,3,0.010387850008883209,0.000237078610075879
full,dm06_soft_under_sell,4,0.010310101971805053,0.00020479321523709338
full,dm06_soft_under_sell,5,0.010317301419661449,0.00018472101498695257
full,dm06_soft_under_sell,6,0.010048021803409869,0.00019526519830877383
full,dm06_soft_under_sell,7,0.009682224040326915,5.973319994094231e-05
full,dm06_soft_under_sell,8,0.009409446115301106,7.907916185560155e-05
full,dm06_soft_under_sell,9,0.009147644434863442,6.434187836105953e-05
full,dm06_soft_under_sell,10,0.008405619509808638,-1.1614338191867385e-05
full,dm07_fresh_match_buy,1,0.0094785931926552,3.1500586907728053e-06
full,dm07_fresh_match_buy,2,0.01248657557292669,0.00023606628422232794
