period,formal_column,mean,std,icir,ordinary_t,nw_se,nw_t,ci_low,ci_high,positive_fraction,valid_days
full,dm01_exact_buy,0.00027237665960768163,0.0032629887990530417,0.08347459227770827,2.0464047842774677,0.00013851650582978175,1.9663841357823169,8.843081813093975e-07,0.0005438690110340539,0.5574043261231281,601
full,dm01_exact_sell,-0.00042541541090551833,0.0033136271816600472,-0.1283836073231375,-3.147362821190185,0.00014032822477936407,-3.0315740940526577,-0.0007004587314730719,-0.00015037209033796477,0.46589018302828616,601
full,dm02_confirmed_buy,0.0002720048688642597,0.00326338263594018,0.08335059023377292,2.043364836803088,0.00013860340151901793,1.9624689284911783,3.4220188698452433e-07,0.0005436675358415348,0.5574043261231281,601
full,dm02_confirmed_sell,-0.000425256190075204,0.003313837291474416,-0.12832742004843456,-3.1459853732191294,0.00014031531016647488,-3.030718383978666,-0.0007002741980014947,-0.00015023818214891327,0.46422628951747086,601
full,dm03_price_room_buy,0.0006471850083814794,0.005067288468893055,0.1277182091279,1.1705567219056032,0.00058266540532729,1.1107318238980535,-0.0004948391860600088,0.0017892092028229676,0.6190476190476191,84
full,dm03_price_room_sell,0.00042141543518684193,0.0047770023893088705,0.08821754750007811,0.895310323716665,0.00046724913906339815,0.90190735510304,-0.0004943928773774184,0.0013372237477511022,0.5728155339805825,103
full,dm04_price_cap_buy,0.00029835565825466365,0.0031750827386326694,0.09396783731788633,2.303649848516621,0.00013665381748001216,2.183295452381365,3.0514175993839822e-05,0.0005661971405154875,0.5557404326123128,601
full,dm04_price_cap_sell,-0.0006698533284018556,0.003397585297094573,-0.19715570613478847,-4.833331547635207,0.00014493334718132926,-4.621802652248054,-0.000953922688877261,-0.00038578396792645026,0.43094841930116473,601
full,dm05_lot_floor_buy,0.00028318030153768546,0.003260095994783515,0.08686256539402605,2.129461966170258,0.00013839853202529917,2.0461221473499465,1.1919178768099112e-05,0.0005544414243072717,0.5574043261231281,601
full,dm05_lot_floor_sell,-0.0004328196004410572,0.003323237786227037,-0.1302403343615231,-3.192881044050248,0.00014067121815331568,-3.0768170356592273,-0.0007085351880215559,-0.00015710401286055846,0.46589018302828616,601
full,dm06_soft_under_buy,0.0002809606505134721,0.003253405389314814,0.086358942982093,2.117115510977995,0.00013807387476186798,2.034857434094877,1.0335855980210854e-05,0.0005515854450467334,0.5557404326123128,601
full,dm06_soft_under_sell,-0.0004221461190918432,0.003314394078558716,-0.12736750944094613,-3.1224528754129963,0.00014034070385236376,-3.0080091342276174,-0.0006972138986424761,-0.00014707833954121023,0.46755407653910147,601
full,dm07_fresh_match_buy,5.813378987478026e-05,0.0023953734438946885,0.02426919694837198,0.5949666765725957,0.00010412825054146011,0.5582902773501749,-0.00014595758118648156,0.0002622251609360421,0.5341098169717138,601
