period,formal_column,group,mean,std,icir,ordinary_t,nw_se,nw_t,ci_low,ci_high,positive_fraction,valid_days,stock_days,all_stock_days,daily_mean_n
full,dm01_exact_buy,1,-5.787916395587358e-05,0.004276614342238601,-0.013533875005801116,-0.3317870241227971,0.0001749381681846041,-0.33085497897060634,-0.00040075797359769765,0.0002849996456859504,0.5108153078202995,601,170813,170813,284.21464226289515
full,dm01_exact_buy,2,0.00011072176398613935,0.0050517738565713875,0.021917403100321208,0.5373117416880482,0.00021177880273206932,0.5228179711933603,-0.0003043646893687165,0.0005258082173409952,0.5374376039933444,601,171147,171147,284.77038269550746
full,dm01_exact_buy,3,0.00022492253346518727,0.00507126737517879,0.04435233183840115,1.0873107803391333,0.00021367014559083825,1.0526624243327678,-0.0001938709518928557,0.0006437160188232302,0.5540765391014975,601,171062,171062,284.6289517470882
full,dm01_exact_buy,4,0.0001641657255951211,0.005108555797952389,0.03213544729430615,0.7878101742525812,0.00021636876841345346,0.7587311551425993,-0.0002599170604952477,0.0005882485116854899,0.5607321131447587,601,171112,171112,284.71214642262896
full,dm01_exact_buy,5,0.000218563486434372,0.005218979727814915,0.041878585055527745,1.0266661325075919,0.00022219328340556866,0.9836637862514899,-0.00021693534904054256,0.0006540623219092865,0.562396006655574,601,171208,171208,284.8718801996672
full,dm01_exact_buy,6,0.0002149026975746298,0.005259394219162296,0.040860731981573924,1.00171315767543,0.000223391441584586,0.9620005853861595,-0.00022294452793115876,0.0006527499230804184,0.5607321131447587,601,171016,171016,284.55241264559066
full,dm01_exact_buy,7,0.00022544775748137942,0.005356533669468904,0.04208836747659842,1.0318090117768683,0.00022844994222452356,0.9868584569822585,-0.00022231412927868675,0.0006732096442414456,0.5640599001663894,601,171038,171038,284.5890183028286
full,dm01_exact_buy,8,0.00020513654711482788,0.005389186598471954,0.03806447287852162,0.9331620231274655,0.00022963431055685428,0.8933183661334394,-0.0002449467015766065,0.0006552197958062623,0.5474209650582362,601,171141,171141,284.7603993344426
full,dm01_exact_buy,9,0.000225284339922157,0.005452452500948818,0.04131798303294779,1.012922804989841,0.00023249943168409336,0.9689672714050338,-0.00023041454617866595,0.00068098322602298,0.5590682196339434,601,171072,171072,284.6455906821963
full,dm01_exact_buy,10,0.00021449749565180813,0.005246834587078055,0.04088131464637254,1.0022177479054362,0.0002236524244513286,0.9590662662299341,-0.0002238612562727959,0.0006528562475764121,0.5457570715474209,601,171368,171368,285.1381031613977
full,dm01_exact_sell,1,0.0004143803486662662,0.0041922152050023805,0.09884519959085233,2.4232198544035195,0.00017369304961417116,2.3857048372789813,7.394197142249074e-05,0.0007548187259100417,0.5707154742096506,601,170812,170812,284.21297836938436
full,dm01_exact_sell,2,0.0003091809041298024,0.004846081000626228,0.06380019320557145,1.5640809622567546,0.00020375284155069252,1.5174311277169599,-9.017466530955495e-05,0.0007085364735691596,0.5557404326123128,601,171138,171138,284.75540765391014
full,dm01_exact_sell,3,0.00024369345320099012,0.00497874533676098,0.048946760020372855,1.199944571724742,0.0002100840942558803,1.1599805023990724,-0.0001680713715405353,0.0006554582779425155,0.5640599001663894,601,171076,171076,284.6522462562396
full,dm01_exact_sell,4,0.00020397756116754507,0.005025651901288768,0.04058728403279134,0.9950094988090544,0.00021322863300190598,0.9566143078247928,-0.00021395055951619065,0.0006219056818512808,0.5607321131447587,601,171125,171125,284.7337770382695
full,dm01_exact_sell,5,0.00018518073804225588,0.005161147287701428,0.03587976233182217,0.8796031857251401,0.0002182356759334583,0.848535590022957,-0.00024256118678732237,0.0006129226628718341,0.5540765391014975,601,171192,171192,284.8452579034942
full,dm01_exact_sell,6,0.0001957532790787846,0.005153922645144798,0.03798141581794831,0.9311258542587422,0.0002183957243403974,0.8963237703943249,-0.0002323023406283943,0.0006238088987859635,0.5524126455906821,601,171011,171011,284.54409317803663
full,dm01_exact_sell,7,6.473896806343722e-05,0.005304277428455996,0.01220504940336084,0.2992104640450025,0.00022432714434041613,0.2885917718686595,-0.0003749422348437784,0.0005044201709706529,0.5324459234608985,601,171037,171037,284.5873544093178
full,dm01_exact_sell,8,7.71533168806956e-05,0.005488964206331111,0.01405607943147179,0.3445890229814212,0.0002339785962732793,0.3297451908403753,-0.0003814447318149318,0.000535751365576323,0.540765391014975,601,171153,171153,284.7803660565724
full,dm01_exact_sell,9,6.368497510883696e-05,0.00563991010273085,0.011291842236634346,0.2768229151629623,0.0002403144457297441,0.26500685348086245,-0.00040733133852146144,0.0005347012887391354,0.540765391014975,601,171064,171064,284.63227953410984
full,dm01_exact_sell,10,-1.1035062239252111e-05,0.005624983670647596,-0.001961794537615371,-0.048093984265168976,0.00023878184290790044,-0.046213992256975756,-0.000479047474338737,0.00045697734986023276,0.5291181364392679,601,171369,171369,285.1397670549085
full,dm02_confirmed_buy,1,-5.789141215087205e-05,0.004276967889808559,-0.013535620009871836,-0.3318298034234377,0.00017495883768820175,-0.3308858981678976,-0.00040081073401974747,0.0002850279097180034,0.5108153078202995,601,170815,170815,284.2179700499168
full,dm02_confirmed_buy,2,0.00011058460368938429,0.005050948047940772,0.02189383114610903,0.5367338681272634,0.0002117585126904389,0.5222203456398629,-0.00030446208118387595,0.0005256312885626445,0.540765391014975,601,171143,171143,284.7637271214642
