date,formal_column,spread,n
2024-01-05,dm12_persistent_buy,0.0005147872968694163,2827
2024-01-05,dm12_persistent_sell,-0.00012266623047485882,2827
2024-01-08,dm01_exact_buy,-0.0008506631303162853,2830
2024-01-08,dm01_exact_sell,-0.0008657643832095619,2830
2024-01-08,dm02_confirmed_buy,-0.0008428438063668294,2830
2024-01-08,dm02_confirmed_sell,-0.0008657643832095619,2830
2024-01-08,dm03_price_room_buy,,2830
2024-01-08,dm03_price_room_sell,,2830
2024-01-08,dm04_price_cap_buy,-0.0008491740134917698,2830
2024-01-08,dm04_price_cap_sell,-0.0007164199799113693,2830
2024-01-08,dm05_lot_floor_buy,-0.0009463599849650751,2830
2024-01-08,dm05_lot_floor_sell,-0.0010144679702198277,2830
2024-01-08,dm06_soft_under_buy,-0.0008973239486474997,2830
2024-01-08,dm06_soft_under_sell,-0.0009222335243146858,2830
2024-01-08,dm07_fresh_match_buy,0.0012208390306533755,2830
2024-01-08,dm07_fresh_match_sell,-0.0002650280169919396,2830
2024-01-08,dm08_adaptive_repeat_buy,,2830
2024-01-08,dm08_adaptive_repeat_sell,,2830
2024-01-08,dm09_two_level_buy,,2830
2024-01-08,dm09_two_level_sell,,2830
2024-01-08,dm10_excess_cancel_buy,,2830
2024-01-08,dm10_excess_cancel_sell,,2830
2024-01-08,dm11_recent_buy,2.5870702250783452e-05,2830
2024-01-08,dm11_recent_sell,-0.0008722508872323932,2830
2024-01-08,dm12_persistent_buy,0.00011793547513454629,2830
2024-01-08,dm12_persistent_sell,-0.00028182298749404545,2830
2024-01-09,dm01_exact_buy,-0.0019481747103267917,2818
2024-01-09,dm01_exact_sell,-0.003309032891676608,2818
2024-01-09,dm02_confirmed_buy,-0.0019481747103267917,2818
2024-01-09,dm02_confirmed_sell,-0.003309032891676608,2818
2024-01-09,dm03_price_room_buy,,2818
2024-01-09,dm03_price_room_sell,,2818
2024-01-09,dm04_price_cap_buy,-0.002052224123614318,2818
2024-01-09,dm04_price_cap_sell,-0.003480641717136024,2818
2024-01-09,dm05_lot_floor_buy,-0.0020365145255354976,2818
2024-01-09,dm05_lot_floor_sell,-0.003386522858530098,2818
2024-01-09,dm06_soft_under_buy,-0.0019418352831787242,2818
2024-01-09,dm06_soft_under_sell,-0.003308308928791002,2818
2024-01-09,dm07_fresh_match_buy,-0.0020242365758778177,2818
2024-01-09,dm07_fresh_match_sell,-0.0029513472319363473,2818
2024-01-09,dm08_adaptive_repeat_buy,,2818
2024-01-09,dm08_adaptive_repeat_sell,,2818
2024-01-09,dm09_two_level_buy,,2818
2024-01-09,dm09_two_level_sell,,2818
2024-01-09,dm10_excess_cancel_buy,,2818
2024-01-09,dm10_excess_cancel_sell,,2818
2024-01-09,dm11_recent_buy,-0.002230421390022869,2818
2024-01-09,dm11_recent_sell,-0.003664829023335198,2818
2024-01-09,dm12_persistent_buy,-0.0030578253159492612,2818
2024-01-09,dm12_persistent_sell,-0.0032520951963663685,2818
2024-01-10,dm01_exact_buy,-0.0020306511111277477,2826
2024-01-10,dm01_exact_sell,-0.0018247880939661677,2826
2024-01-10,dm02_confirmed_buy,-0.0020306511111277477,2826
2024-01-10,dm02_confirmed_sell,-0.0018429008803725433,2826
2024-01-10,dm03_price_room_buy,,2826
2024-01-10,dm03_price_room_sell,,2826
2024-01-10,dm04_price_cap_buy,-0.0014976796570276684,2826
2024-01-10,dm04_price_cap_sell,-0.002282242892363134,2826
2024-01-10,dm05_lot_floor_buy,-0.001954003861413488,2826
2024-01-10,dm05_lot_floor_sell,-0.0018038601937150518,2826
2024-01-10,dm06_soft_under_buy,-0.0020306511111277477,2826
2024-01-10,dm06_soft_under_sell,-0.001802174780617739,2826
2024-01-10,dm07_fresh_match_buy,-0.0006574817770244475,2826
2024-01-10,dm07_fresh_match_sell,-0.0008344319911492461,2826
2024-01-10,dm08_adaptive_repeat_buy,,2826
2024-01-10,dm08_adaptive_repeat_sell,,2826
2024-01-10,dm09_two_level_buy,,2826
2024-01-10,dm09_two_level_sell,,2826
2024-01-10,dm10_excess_cancel_buy,,2826
2024-01-10,dm10_excess_cancel_sell,,2826
2024-01-10,dm11_recent_buy,-0.0014347041245413796,2826
2024-01-10,dm11_recent_sell,-0.001754691091223808,2826
2024-01-10,dm12_persistent_buy,-0.0012014248640457464,2826
2024-01-10,dm12_persistent_sell,-0.0019357624838830384,2826
2024-01-11,dm01_exact_buy,-0.0013500816023586585,2826
2024-01-11,dm01_exact_sell,-0.0018492450960686706,2826
2024-01-11,dm02_confirmed_buy,-0.0013500816023586585,2826
2024-01-11,dm02_confirmed_sell,-0.0018492450960686706,2826
2024-01-11,dm03_price_room_buy,,2826
2024-01-11,dm03_price_room_sell,,2826
2024-01-11,dm04_price_cap_buy,-0.00234072063714311,2826
2024-01-11,dm04_price_cap_sell,-0.0017448681510246074,2826
2024-01-11,dm05_lot_floor_buy,-0.0014203820228967626,2826
2024-01-11,dm05_lot_floor_sell,-0.002001677286203468,2826
2024-01-11,dm06_soft_under_buy,-0.0014013381936837045,2826
2024-01-11,dm06_soft_under_sell,-0.0018915570088019259,2826
2024-01-11,dm07_fresh_match_buy,-0.001973388971760837,2826
2024-01-11,dm07_fresh_match_sell,-0.0026172580755336123,2826
2024-01-11,dm08_adaptive_repeat_buy,,2826
2024-01-11,dm08_adaptive_repeat_sell,,2826
2024-01-11,dm09_two_level_buy,,2826
2024-01-11,dm09_two_level_sell,,2826
2024-01-11,dm10_excess_cancel_buy,,2826
2024-01-11,dm10_excess_cancel_sell,,2826
2024-01-11,dm11_recent_buy,-0.0015323032831576647,2826
2024-01-11,dm11_recent_sell,-0.0018420052479991172,2826
2024-01-11,dm12_persistent_buy,-0.0016023845945977917,2826
2024-01-11,dm12_persistent_sell,-0.001651641231746179,2826
2024-01-12,dm01_exact_buy,-0.001040548991024275,2826
2024-01-12,dm01_exact_sell,-0.0012904668136232338,2826
2024-01-12,dm02_confirmed_buy,-0.001040548991024275,2826
2024-01-12,dm02_confirmed_sell,-0.0012904668136232338,2826
2024-01-12,dm03_price_room_buy,,2826
2024-01-12,dm03_price_room_sell,,2826
2024-01-12,dm04_price_cap_buy,-0.0011424915621668376,2826
2024-01-12,dm04_price_cap_sell,-0.001696865250679125,2826
2024-01-12,dm05_lot_floor_buy,-0.0011809347165407037,2826
2024-01-12,dm05_lot_floor_sell,-0.0013039304248232415,2826
2024-01-12,dm06_soft_under_buy,-0.0009788331224350891,2826
2024-01-12,dm06_soft_under_sell,-0.0012904668136232338,2826
2024-01-12,dm07_fresh_match_buy,-0.0015226700448248167,2826
2024-01-12,dm07_fresh_match_sell,-0.0018086194667582616,2826
2024-01-12,dm08_adaptive_repeat_buy,,2826
2024-01-12,dm08_adaptive_repeat_sell,,2826
2024-01-12,dm09_two_level_buy,,2826
2024-01-12,dm09_two_level_sell,,2826
2024-01-12,dm10_excess_cancel_buy,,2826
2024-01-12,dm10_excess_cancel_sell,,2826
2024-01-12,dm11_recent_buy,-0.0016402628604038003,2826
2024-01-12,dm11_recent_sell,-0.0022824470088036062,2826
2024-01-12,dm12_persistent_buy,-0.001149371617441121,2826
2024-01-12,dm12_persistent_sell,-0.0016496516089316425,2826
2024-01-15,dm01_exact_buy,-0.0032994579963883607,2829
2024-01-15,dm01_exact_sell,-0.0036509984181187084,2829
2024-01-15,dm02_confirmed_buy,-0.003303808646823253,2829
2024-01-15,dm02_confirmed_sell,-0.0036509984181187084,2829
2024-01-15,dm03_price_room_buy,,2829
2024-01-15,dm03_price_room_sell,,2829
2024-01-15,dm04_price_cap_buy,-0.0035293278393886355,2829
2024-01-15,dm04_price_cap_sell,-0.00362584038169551,2829
2024-01-15,dm05_lot_floor_buy,-0.0032533718158611453,2829
2024-01-15,dm05_lot_floor_sell,-0.003626946306825275,2829
2024-01-15,dm06_soft_under_buy,-0.0032931424725595885,2829
2024-01-15,dm06_soft_under_sell,-0.0036212772401645,2829
2024-01-15,dm07_fresh_match_buy,-0.0030355925671417356,2829
2024-01-15,dm07_fresh_match_sell,-0.0029861792050274913,2829
