formal_column,stock_days,finite_rate,nonzero_rate,N,dm01_exact_buy__numerator,dm01_exact_buy__observable,dm01_exact_buy__unknown,unknown_reasons_json,dm01_exact_sell__numerator,dm01_exact_sell__observable,dm01_exact_sell__unknown,dm02_confirmed_buy__numerator,dm02_confirmed_buy__observable,dm02_confirmed_buy__unknown,dm02_confirmed_sell__numerator,dm02_confirmed_sell__observable,dm02_confirmed_sell__unknown,dm03_price_room_buy__numerator,dm03_price_room_buy__observable,dm03_price_room_buy__unknown,dm03_price_room_sell__numerator,dm03_price_room_sell__observable,dm03_price_room_sell__unknown,dm04_price_cap_buy__numerator,dm04_price_cap_buy__observable,dm04_price_cap_buy__unknown,dm04_price_cap_sell__numerator,dm04_price_cap_sell__observable,dm04_price_cap_sell__unknown,dm05_lot_floor_buy__numerator,dm05_lot_floor_buy__observable,dm05_lot_floor_buy__unknown,dm05_lot_floor_sell__numerator,dm05_lot_floor_sell__observable,dm05_lot_floor_sell__unknown,dm06_soft_under_buy__numerator,dm06_soft_under_buy__observable,dm06_soft_under_buy__unknown,dm06_soft_under_sell__numerator,dm06_soft_under_sell__observable,dm06_soft_under_sell__unknown,dm07_fresh_match_buy__numerator,dm07_fresh_match_buy__observable,dm07_fresh_match_buy__unknown,dm07_fresh_match_sell__numerator,dm07_fresh_match_sell__observable,dm07_fresh_match_sell__unknown,dm08_adaptive_repeat_buy__numerator,dm08_adaptive_repeat_buy__observable,dm08_adaptive_repeat_buy__unknown,dm08_adaptive_repeat_sell__numerator,dm08_adaptive_repeat_sell__observable,dm08_adaptive_repeat_sell__unknown,dm09_two_level_buy__numerator,dm09_two_level_buy__observable,dm09_two_level_buy__unknown,dm09_two_level_sell__numerator,dm09_two_level_sell__observable,dm09_two_level_sell__unknown,dm10_excess_cancel_buy__numerator,dm10_excess_cancel_buy__observable,dm10_excess_cancel_buy__unknown,dm10_excess_cancel_sell__numerator,dm10_excess_cancel_sell__observable,dm10_excess_cancel_sell__unknown,dm11_recent_buy__numerator,dm11_recent_buy__observable,dm11_recent_buy__unknown,dm11_recent_sell__numerator,dm11_recent_sell__observable,dm11_recent_sell__unknown,dm12_persistent_buy__numerator,dm12_persistent_buy__observable,dm12_persistent_buy__unknown,dm12_persistent_sell__numerator,dm12_persistent_sell__observable,dm12_persistent_sell__unknown
dm01_exact_buy,1719612,0.9970929488745136,0.9622490422258044,5734898253.0,55897208.0,2923565008.0,4.0,"{""book_unknown"": 4}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm01_exact_sell,1719612,0.9970929488745136,0.9596193792553204,5734898253.0,,,,"{""book_unknown"": 5}",58375848.0,2811333236.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm02_confirmed_buy,1719612,0.9970929488745136,0.9622472976462132,5734898253.0,,,,"{""initial_execution_unknown"": 5}",,,,55861226.0,2923565007.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm02_confirmed_sell,1719612,0.9970929488745136,0.9596170531491988,5734898253.0,,,,"{""initial_execution_unknown"": 10}",,,,,,,58351637.0,2811333231.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm03_price_room_buy,1719612,0.9970929488745136,0.7404949488605569,5734898253.0,,,,"{""book_unknown"": 4, ""dependency_unknown"": 323063}",,,,,,,,,,15661582.0,2923241945.0,323067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm03_price_room_sell,1719612,0.9970929488745136,0.748820664196342,5734898253.0,,,,"{""book_unknown"": 5, ""dependency_unknown"": 285463}",,,,,,,,,,,,,15643707.0,2811047773.0,285468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm04_price_cap_buy,1719612,0.9970929488745136,0.9589279442106707,5734898253.0,,,,"{""book_unknown"": 4, ""dependency_unknown"": 323063}",,,,,,,,,,,,,,,,39912563.0,2923241945.0,323067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm04_price_cap_sell,1719612,0.9970929488745136,0.9559982135504986,5734898253.0,,,,"{""book_unknown"": 5, ""dependency_unknown"": 285463}",,,,,,,,,,,,,,,,,,,42446678.0,2811047773.0,285468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm05_lot_floor_buy,1719612,0.9970929488745136,0.9632498493846287,5734898253.0,,,,"{""book_unknown"": 4}",,,,,,,,,,,,,,,,,,,,,,56460933.0,2923565008.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm05_lot_floor_sell,1719612,0.9970929488745136,0.9606312354182223,5734898253.0,,,,"{""book_unknown"": 5}",,,,,,,,,,,,,,,,,,,,,,,,,58905800.0,2811333236.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
