period,formal_column,group,return_percentile,median_return,winsorized_mean,tail_contribution,positive_fraction
full,dm01_exact_buy,1,0.4967858915361312,-0.0004363539365679112,-9.108380897597683e-05,3.320464502010328e-05,0.4593761300428574
full,dm01_exact_buy,2,0.49735058958318734,-0.0005332193549266438,-2.7735348092363063e-06,0.00011349529879537563,0.4822048493157199
full,dm01_exact_buy,3,0.5005626334683212,-0.0004586082991917412,0.00010327718557841492,0.0001216453478867723,0.48920875053699264
full,dm01_exact_buy,4,0.4998047346345333,-0.0004703010330093868,6.994642695577432e-05,9.421929863934676e-05,0.48721716289871675
full,dm01_exact_buy,5,0.5006636488137187,-0.0004514350288976906,9.986369277020527e-05,0.00011869979366416669,0.49187487095925764
full,dm01_exact_buy,6,0.5004539838503221,-0.0004811518021396125,0.0001132630109467548,0.00010163968662787497,0.49094367151121304
full,dm01_exact_buy,7,0.5016750810351334,-0.000466862797594891,0.00013728648327068638,8.816127421069305e-05,0.49373210322976907
full,dm01_exact_buy,8,0.5010156490999284,-0.0004649908222042948,0.00011734201977323016,8.779452734159757e-05,0.490806152335147
full,dm01_exact_buy,9,0.5017773573485016,-0.00043354433330354585,0.0001258304441209911,9.94538958011659e-05,0.49293950423306226
full,dm01_exact_buy,10,0.5016593416875601,-0.0004050089992343173,0.000150091379401317,6.440611625049117e-05,0.49142321868903166
full,dm01_exact_sell,1,0.5106699892303094,-0.0001736476716440288,0.00032685386967755913,8.752647898870718e-05,0.4766885650000385
full,dm01_exact_sell,2,0.5033720886548211,-0.000421810108339767,0.00018636226398715104,0.0001228186401426513,0.4899556589309335
full,dm01_exact_sell,3,0.5003170348771736,-0.0004645743635451485,0.00011134587954551524,0.00013234757365547493,0.48803780719516643
full,dm01_exact_sell,4,0.49943718332655324,-0.0005078810233885747,8.97540577182124e-05,0.00011422350344933273,0.4877764863259351
full,dm01_exact_sell,5,0.4994012723035287,-0.0004875396848207888,7.513863455145976e-05,0.00011004210349079607,0.4887858125449977
full,dm01_exact_sell,6,0.49976202819033017,-0.00047851414939292607,9.446281372116126e-05,0.00010129046535762341,0.4891829739118072
full,dm01_exact_sell,7,0.4963416347626268,-0.0005550850948530865,-1.4833444378869436e-05,7.95724124423066e-05,0.4859330722175582
full,dm01_exact_sell,8,0.4974976880518275,-0.0005323175347336036,5.202786929040598e-06,7.195052995165502e-05,0.487938492726948
full,dm01_exact_sell,9,0.49757666612639945,-0.000549928305688855,-2.675170673446903e-06,6.636014578228385e-05,0.48776869219676294
full,dm01_exact_sell,10,0.49739885727927863,-0.000522128937605045,-4.775607296003591e-05,3.6721010720783815e-05,0.4876872114434459
full,dm02_confirmed_buy,1,0.49678368045496146,-0.0004363821472427333,-9.109554770131774e-05,3.320413555044564e-05,0.45936526781352044
full,dm02_confirmed_buy,2,0.49735939171640453,-0.0005322541770775991,-2.8593798860742287e-06,0.00011344398357545851,0.48222815431582455
full,dm02_confirmed_buy,3,0.5005267013664036,-0.00045875220665846626,0.00010308356671191019,0.00012250918379081986,0.4891890300397812
full,dm02_confirmed_buy,4,0.49981681942432354,-0.00046939645235700034,7.050966212707571e-05,9.326050465505257e-05,0.48715553809807893
full,dm02_confirmed_buy,5,0.5007053310222955,-0.00045103060154491056,0.00010109659141732922,0.00011930810999891798,0.49190989490049164
full,dm02_confirmed_buy,6,0.5003922921226611,-0.00048266885425278684,0.00011167784560096763,0.00010137689870651842,0.4909336588904191
full,dm02_confirmed_buy,7,0.5017292850924504,-0.0004642692770304789,0.00013773579285872417,8.779411708080205e-05,0.4938167499886563
full,dm02_confirmed_buy,8,0.5009688280037469,-0.0004675190627636036,0.0001156509250463876,8.86819174789366e-05,0.490769721581765
full,dm02_confirmed_buy,9,0.5018087734922894,-0.0004365076137192626,0.00012747735320220322,9.880916381981571e-05,0.49287661895045015
full,dm02_confirmed_buy,10,0.5016585870534643,-0.00040354316234361926,0.0001497729096239223,6.434054708946533e-05,0.4914778443114874
full,dm02_confirmed_sell,1,0.5106624085340322,-0.0001737133597780915,0.00032651696112521067,8.756829134501521e-05,0.47665484609563713
full,dm02_confirmed_sell,2,0.5033847431836941,-0.0004210925526684144,0.00018679986093261805,0.00012278394300698715,0.490003362939857
full,dm02_confirmed_sell,3,0.5003273870320116,-0.000464252505785214,0.00011167051236245091,0.00013191428641487143,0.4880459876295975
